conv_id,utterance_idx,context,prompt,speaker_idx,utterance,selfeval,tags
hit:0_conv:1,1,sentimental,I remember going to the fireworks with my best friend. There was a lot of people_comma_ but it only felt like us in the world.,1,I remember going to see the fireworks with my best friend. It was the first time we ever spent time alone together. Although there was a lot of people_comma_ we felt like the only people in the world.,5|5|5_2|2|5,
hit:0_conv:1,2,sentimental,I remember going to the fireworks with my best friend. There was a lot of people_comma_ but it only felt like us in the world.,0,Was this a friend you were in love with_comma_ or just a best friend?,5|5|5_2|2|5,
hit:0_conv:1,3,sentimental,I remember going to the fireworks with my best friend. There was a lot of people_comma_ but it only felt like us in the world.,1,This was a best friend. I miss her.,5|5|5_2|2|5,
hit:0_conv:1,4,sentimental,I remember going to the fireworks with my best friend. There was a lot of people_comma_ but it only felt like us in the world.,0,Where has she gone?,5|5|5_2|2|5,
hit:0_conv:1,5,sentimental,I remember going to the fireworks with my best friend. There was a lot of people_comma_ but it only felt like us in the world.,1,We no longer talk.,5|5|5_2|2|5,
hit:0_conv:1,6,sentimental,I remember going to the fireworks with my best friend. There was a lot of people_comma_ but it only felt like us in the world.,0,Oh was this something that happened because of an argument?,5|5|5_2|2|5,
hit:1_conv:2,1,afraid, i used to scare for darkness,2, it feels like hitting to blank wall when i see the darkness,4|3|4_3|5|5,
hit:1_conv:2,2,afraid, i used to scare for darkness,3,Oh ya? I don't really see how,4|3|4_3|5|5,
hit:1_conv:2,3,afraid, i used to scare for darkness,2,dont you feel so.. its a wonder ,4|3|4_3|5|5,
hit:1_conv:2,4,afraid, i used to scare for darkness,3,I do actually hit blank walls a lot of times but i get by,4|3|4_3|5|5,
hit:1_conv:2,5,afraid, i used to scare for darkness,2, i virtually thought so.. and i used to get sweatings,4|3|4_3|5|5,
hit:1_conv:2,6,afraid, i used to scare for darkness,3,Wait what are sweatings,4|3|4_3|5|5,
hit:2_conv:4,1,faithful,I have always been loyal to my wife.,4,I have never cheated on my wife.,3|3|5_2|4|4,
hit:2_conv:4,2,faithful,I have always been loyal to my wife.,5,And thats something you should never do_comma_ good on you. ,3|3|5_2|4|4,
hit:2_conv:4,3,faithful,I have always been loyal to my wife.,4,Yea it hasn't been easy but I am proud I haven't,3|3|5_2|4|4,
hit:2_conv:4,4,faithful,I have always been loyal to my wife.,5,What do you mean it hasn't been easy? How close have you come to cheating? ,3|3|5_2|4|4,
hit:13_conv:27,1,proud,I felt proud when I had accomplished a dream that I wanted to do for a long time. ,18,I felt proud when I had accomplished a dream that I wanted to do for a long time. It was absailing!!,4|4|5_3|3|3,
hit:13_conv:27,2,proud,I felt proud when I had accomplished a dream that I wanted to do for a long time. ,15,I'm not familiar with abseiling_comma_ but I'm glad that you felt good about it.,4|4|5_3|3|3,
hit:13_conv:27,3,proud,I felt proud when I had accomplished a dream that I wanted to do for a long time. ,18,absailing_comma_ its when you rappeling down a building. What have you down that amazing?,4|4|5_3|3|3,
hit:13_conv:27,4,proud,I felt proud when I had accomplished a dream that I wanted to do for a long time. ,15,Oh_comma_ I see. No_comma_ I've never done that.,4|4|5_3|3|3,
hit:13_conv:27,5,proud,I felt proud when I had accomplished a dream that I wanted to do for a long time. ,18,so what have you done?,4|4|5_3|3|3,
hit:17_conv:35,1,annoyed,I get irritated with a coworker that gets on my nerves all the time by coming and bothering me smelling like smoke and trying to chat itu p,24,Do you have any irritating coworkers?,3|3|4_5|5|5,
hit:17_conv:35,2,annoyed,I get irritated with a coworker that gets on my nerves all the time by coming and bothering me smelling like smoke and trying to chat itu p,15,Yes_comma_ I think that everyone does! What about you?,3|3|4_5|5|5,
hit:17_conv:35,3,annoyed,I get irritated with a coworker that gets on my nerves all the time by coming and bothering me smelling like smoke and trying to chat itu p,24,yes a few that drive me nuts. the janitor is the worst,3|3|4_5|5|5,
hit:17_conv:35,4,annoyed,I get irritated with a coworker that gets on my nerves all the time by coming and bothering me smelling like smoke and trying to chat itu p,15,That's too bad. Our janitor is very friendly.,3|3|4_5|5|5,
hit:17_conv:35,5,annoyed,I get irritated with a coworker that gets on my nerves all the time by coming and bothering me smelling like smoke and trying to chat itu p,24,she comes in my office smelling like smoke trying to chat it up rather than do her job. ,3|3|4_5|5|5,
hit:18_conv:37,1,furious,I ordered for French fries _comma_bit was served burger_comma_that pissed me off!,25,I could not tolerate the waiters insensitivity_comma_that's poor service indeed!,3|4|4_1|3|4,
hit:18_conv:37,2,furious,I ordered for French fries _comma_bit was served burger_comma_that pissed me off!,7,What happened?,3|4|4_1|3|4,
hit:18_conv:37,3,furious,I ordered for French fries _comma_bit was served burger_comma_that pissed me off!,25,Imagine _comma_I requested a French fries _comma_but was served burger instead!,3|4|4_1|3|4,
hit:18_conv:37,4,furious,I ordered for French fries _comma_bit was served burger_comma_that pissed me off!,7,It is very bad service. What did you do? Did you complain to the manager?,3|4|4_1|3|4,
hit:24_conv:49,1,excited,When I was little and I found out that we were going to the amusement park . ,34,When I was a little child my parents told me that we were going to the amusement park and it made me so happy,4|5|4_5|5|5,
hit:24_conv:49,2,excited,When I was little and I found out that we were going to the amusement park . ,33,I bet! That sounds like fun.,4|5|4_5|5|5,
hit:24_conv:49,3,excited,When I was little and I found out that we were going to the amusement park . ,34,It was fun for sure_comma_ all the rides and the food_comma_ it brings back great memories.,4|5|4_5|5|5,
hit:24_conv:49,4,excited,When I was little and I found out that we were going to the amusement park . ,33,What sweet memories to hold on to.,4|5|4_5|5|5,
hit:24_conv:49,5,excited,When I was little and I found out that we were going to the amusement park . ,34,Have you ever been to the amusement park?,4|5|4_5|5|5,
hit:31_conv:63,1,nostalgic,When my partner went out of her way to make my day better. with gifts. ,11,I was having a bad day the other day but my spouse went and surprised me with my favorite food. ,4|5|5_4|4|3,
hit:31_conv:63,2,nostalgic,When my partner went out of her way to make my day better. with gifts. ,44,whats your favorite food? that was very nice of them,4|5|5_4|4|3,
hit:31_conv:63,3,nostalgic,When my partner went out of her way to make my day better. with gifts. ,11,I know it was rather sweet of them... i love anything asian! ,4|5|5_4|4|3,
hit:31_conv:63,4,nostalgic,When my partner went out of her way to make my day better. with gifts. ,44,oh nice_comma_ im afraid the most asian food that i like is fortune cookies,4|5|5_4|4|3,
hit:36_conv:72,1,anxious,I heard a car outside that sounded like it wrecked yesterday. It sounded  awful.,40,Did you go outside and see if anyone was hurt?,5|5|5_4|4|3,
hit:36_conv:72,2,anxious,I heard a car outside that sounded like it wrecked yesterday. It sounded  awful.,46,What do you mean? I don't know what you are talking about.,5|5|5_4|4|3,
hit:36_conv:72,3,anxious,I heard a car outside that sounded like it wrecked yesterday. It sounded  awful.,40,I heard a noise outside that sounded like a car had wrecked yesterday.,5|5|5_4|4|3,
hit:36_conv:72,4,anxious,I heard a car outside that sounded like it wrecked yesterday. It sounded  awful.,46,Well then I guess you should have went and checked to see if anyone was hurt. I hope you called a ambulance.,5|5|5_4|4|3,
hit:43_conv:86,1,prepared,I remember getting prepared for my trip to peru_comma_ it was crazy! ,11,I traveled a few months ago and didnt realize how much planning is involved! Wow it was a lot to get ready for... ,5|5|5_4|5|5,
hit:43_conv:86,2,prepared,I remember getting prepared for my trip to peru_comma_ it was crazy! ,27,Traveling is hard work. Where did you go?,5|5|5_4|5|5,
hit:43_conv:86,3,prepared,I remember getting prepared for my trip to peru_comma_ it was crazy! ,11,I went to Peru to visit my family. I try to go every year. ,5|5|5_4|5|5,
hit:43_conv:86,4,prepared,I remember getting prepared for my trip to peru_comma_ it was crazy! ,27,Wow. I have never neen that far! I have been to the Caribbean though.,5|5|5_4|5|5,
hit:46_conv:93,1,angry,when i moved into my apartment it was full of bugs! ,11,I was so excited to move to a new state_comma_ but when i moved into my apartment it was full of bugs! ugh,5|5|5_https://worker.mturk.com/tasks5|5|5,
hit:46_conv:93,2,angry,when i moved into my apartment it was full of bugs! ,27,Oh no! Bugs really creep me out!,5|5|5_https://worker.mturk.com/tasks5|5|5,
hit:46_conv:93,3,angry,when i moved into my apartment it was full of bugs! ,11,me too.. i really was freaking out. ,5|5|5_https://worker.mturk.com/tasks5|5|5,
hit:46_conv:93,4,angry,when i moved into my apartment it was full of bugs! ,27,what did the landlor do about it? Did you have to call an exterminator?,5|5|5_https://worker.mturk.com/tasks5|5|5,
hit:47_conv:95,1,excited,I get to go out today after work! yay,11,I get to go to the water park today! I cant wait. ,5|5|4_5|5|5,
hit:47_conv:95,2,excited,I get to go out today after work! yay,7,That is nice. I like going to water park. What time are you going?,5|5|4_5|5|5,
hit:47_conv:95,3,excited,I get to go out today after work! yay,11,Its so much fun_comma_ really pretty down there too. Oh in a few hours! ,5|5|4_5|5|5,
hit:47_conv:95,4,excited,I get to go out today after work! yay,7,Is it a big water park?,5|5|4_5|5|5,
hit:60_conv:121,1,proud,I was able to save a blind lady from falling down an escalator.,1,I was able to save a blind lady from falling down an escalator.,5|5|5_4|3|4,
hit:60_conv:121,2,proud,I was able to save a blind lady from falling down an escalator.,46,Is she ok? Im glad you were close by!,5|5|5_4|3|4,
hit:60_conv:121,3,proud,I was able to save a blind lady from falling down an escalator.,1,She was very alarmed and rightfully so. I'm usually not a nice person_comma_ but I'm glad I did the right thing that time!,5|5|5_4|3|4,
hit:60_conv:121,4,proud,I was able to save a blind lady from falling down an escalator.,46,That is really cool of you to do_comma_ Did anyone else see it happen?,5|5|5_4|3|4,
